mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09589285850524902,0.005556476679642627,0.005157566070556641,0.0002676485142519457,0.01,3,100,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 0.1}",0.2,0.2777777777777778,0.06896551724137931,0.23076923076923078,0.2857142857142857,0.21264536230053474,0.07837547676020874,95
0.09991521835327148,0.004438743783442505,0.0054377555847167965,0.00021996176113845675,0.01,3,100,0.5,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 0.5}",0.20689655172413793,0.2857142857142857,0.06896551724137931,0.23076923076923078,0.3448275862068966,0.22743463433118608,0.09243702327231222,58
0.09880971908569336,0.002949112289674351,0.005289125442504883,0.00026552609398793,0.01,3,100,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 1.0}",0.13793103448275862,0.34285714285714286,0.25806451612903225,0.2222222222222222,0.3448275862068966,0.2611805003796105,0.07795613706758121,10
0.19337024688720703,0.008226277854197734,0.0059375762939453125,0.00043044880238234904,0.01,3,200,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 0.1}",0.2962962962962963,0.27586206896551724,0.07692307692307693,0.2,0.2857142857142857,0.2269591455798352,0.08232729839577184,61
0.20261521339416505,0.010974257924591465,0.008657312393188477,0.006139230314270051,0.01,3,200,0.5,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 0.5}",0.2222222222222222,0.26666666666666666,0.21428571428571427,0.18181818181818182,0.2608695652173913,0.22917247004203528,0.03137792433535098,53
0.2082367420196533,0.007107840180173884,0.00566568374633789,0.0005522147060652532,0.01,3,200,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 1.0}",0.24,0.3333333333333333,0.23076923076923078,0.18181818181818182,0.2727272727272727,0.25172960372960373,0.05012903059214808,17
0.30455832481384276,0.01278178134198065,0.008802318572998047,0.0059388941333393805,0.01,3,300,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 0.1}",0.2962962962962963,0.26666666666666666,0.2222222222222222,0.19047619047619047,0.2,0.23513227513227514,0.04032509752826092,42
0.30133705139160155,0.018430432685609614,0.005847549438476563,0.00048274148449828916,0.01,3,300,0.5,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 0.5}",0.24,0.26666666666666666,0.2222222222222222,0.2727272727272727,0.2857142857142857,0.25746608946608945,0.023076868878479113,14
0.29231939315795896,0.0225331830559628,0.011322259902954102,0.006650267860672288,0.01,3,300,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 1.0}",0.25,0.3333333333333333,0.16,0.2857142857142857,0.2727272727272727,0.26035497835497834,0.057097032655796666,11
0.4570605754852295,0.024794172127266048,0.006290864944458008,0.0004501957821045167,0.01,3,500,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 500, 'classifier__reg_lambda': 0.1}",0.17391304347826086,0.07407407407407407,0.17391304347826086,0.43478260869565216,0.3,0.2313365539452496,0.124443860998889,49
0.5131735801696777,0.04627287119860778,0.008952951431274414,0.005017938564854774,0.01,3,500,0.5,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 500, 'classifier__reg_lambda': 0.5}",0.25,0.07692307692307693,0.25,0.34782608695652173,0.3,0.24494983277591972,0.09154020280296983,21
