Model,EFL_Total,FN_Cost_Lost_CLV,FP_Cost_Unnecessary_Intervention,TP_Intervention_Cost,N_False_Negatives,N_False_Positives,N_True_Positives,Mean_CLV_Missed_Churners,PV_Annuity_Factor
Monolithic Baseline,148930.75285606307,146830.75285606307,2100.0,550.0,50,42,11,2936.6150571212615,2.7232480293704784
HEL Framework,158843.92033257746,156743.92033257746,2100.0,350.0,54,42,7,2902.665191344027,2.7232480293704784
