mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4103137969970703,0.004970765924324905,0.007071733474731445,0.0009269133621242667,0.01,3,100,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 0.1}",0.7076923076923077,0.7142857142857143,0.7105263157894737,0.6984126984126984,0.6944444444444444,0.7050722961249278,0.007467253020369044,53
0.412277364730835,0.008287235169105896,0.007175731658935547,0.0008509003289619597,0.01,3,100,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 1.0}",0.7076923076923077,0.6956521739130435,0.7105263157894737,0.6875,0.676056338028169,0.6954854270845988,0.012779050191576944,54
0.47447810173034666,0.0060209253299038906,0.00665736198425293,0.00030717829746025474,0.01,3,200,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 0.1}",0.7301587301587301,0.6875,0.7605633802816901,0.7619047619047619,0.7352941176470589,0.7350841979984482,0.02704474653950307,51
0.22904858589172364,0.11926202221409178,0.006376123428344727,0.0005722155887818215,0.01,3,200,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 1.0}",0.7419354838709677,0.676923076923077,0.782608695652174,0.7384615384615385,0.7164179104477612,0.7312693410711036,0.0345696544753863,52
0.2908297061920166,0.02794868321284023,0.006357145309448242,0.0001866571975389559,0.01,3,300,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 0.1}",0.7796610169491526,0.71875,0.8307692307692308,0.7931034482758621,0.746268656716418,0.7737104705421327,0.038576949529049914,39
0.26254839897155763,0.0016057210996258506,0.008636999130249023,0.005260857552246273,0.01,3,300,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 1.0}",0.7796610169491526,0.71875,0.8181818181818182,0.8,0.746268656716418,0.7725722983694778,0.03597632113302507,42
0.172730016708374,0.0065548614584151985,0.0059162616729736325,0.0003601687324084419,0.01,5,100,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 0.1}",0.7777777777777778,0.7301587301587301,0.7761194029850746,0.6896551724137931,0.7076923076923077,0.7362806782055367,0.03560293311454446,50
0.1593404769897461,0.006647384565707978,0.005582237243652343,0.00017292975353825143,0.01,5,100,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 1.0}",0.7777777777777778,0.71875,0.7761194029850746,0.7241379310344828,0.696969696969697,0.7387509617534065,0.03249229445226865,49
0.3176719665527344,0.014626674113696857,0.00615396499633789,0.0003370609588949852,0.01,5,200,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 0.1}",0.7857142857142857,0.7301587301587301,0.819672131147541,0.7241379310344828,0.7575757575757576,0.7634517671261595,0.03562269100328489,45
0.30393619537353517,0.01080029109211805,0.005852413177490234,0.0002954393681627465,0.01,5,200,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 1.0}",0.7857142857142857,0.6984126984126984,0.8524590163934426,0.7457627118644068,0.7575757575757576,0.7679848939921182,0.05077927644916697,43
0.4575322151184082,0.017149831881054553,0.007426643371582031,0.0007550511042696495,0.01,5,300,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 0.1}",0.8070175438596491,0.7213114754098361,0.8620689655172413,0.7857142857142857,0.746268656716418,0.784476185443486,0.04894871008753028,38
0.4586918354034424,0.03191586518006675,0.008982133865356446,0.0038381008982034297,0.01,5,300,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 1.0}",0.8070175438596491,0.7096774193548387,0.8771929824561403,0.7931034482758621,0.7575757575757576,0.7889134303044496,0.055495927183138144,37
0.2534526824951172,0.018395113678251262,0.009356832504272461,0.00517563378483075,0.01,7,100,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 0.1}",0.8363636363636363,0.71875,0.7692307692307693,0.711864406779661,0.7333333333333333,0.7539084291414799,0.04574010237730694,48
0.23508315086364745,0.021546576289039242,0.01174783706665039,0.006447106908109519,0.01,7,100,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 1.0}",0.8148148148148148,0.7796610169491526,0.7384615384615385,0.7457627118644068,0.7213114754098361,0.7600023114999497,0.03333054790370404,46
0.4521320343017578,0.023489381808618592,0.008620643615722656,0.004129326878457543,0.01,7,200,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 0.1}",0.8214285714285714,0.71875,0.7796610169491526,0.7547169811320755,0.71875,0.7586613139019599,0.038941237425750556,47
0.4524836540222168,0.02379771791703458,0.00971517562866211,0.006636132956520443,0.01,7,200,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 1.0}",0.8070175438596491,0.7419354838709677,0.7741935483870968,0.7719298245614035,0.7384615384615385,0.7667075878281311,0.024978792430924823,44
0.6764936447143555,0.047440738058285616,0.010039949417114257,0.00479346965485067,0.01,7,300,0.1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 0.1}",0.8214285714285714,0.7213114754098361,0.8070175438596491,0.7777777777777778,0.7384615384615385,0.7731993813874746,0.038444133795450836,40
0.6846634864807128,0.05138458065221023,0.0078064918518066405,0.001041736595973364,0.01,7,300,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 1.0}",0.8070175438596491,0.7213114754098361,0.7719298245614035,0.8070175438596491,0.7575757575757576,0.772970429053259,0.032326887608988886,41
0.09490528106689453,0.004412812445302717,0.006314468383789062,0.001171519605802273,0.1,3,100,0.1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 0.1}",0.8363636363636363,0.7931034482758621,0.8571428571428571,0.7719298245614035,0.7619047619047619,0.8040889056497041,0.0368531376285521,26
0.09471588134765625,0.007452358522608767,0.008190488815307618,0.005401661447990246,0.1,3,100,1.0,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 1.0}",0.8363636363636363,0.7666666666666667,0.8813559322033898,0.7796610169491526,0.75,0.802809450436569,0.04883937353845851,28
0.1664442539215088,0.012382287306940389,0.005590963363647461,0.00028749755149798346,0.1,3,200,0.1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 0.1}",0.8363636363636363,0.7931034482758621,0.8275862068965517,0.8135593220338984,0.7666666666666667,0.8074558560473231,0.025091403565157096,17
0.16504483222961425,0.006970429729339456,0.008103132247924805,0.005061006451899338,0.1,3,200,1.0,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 1.0}",0.8148148148148148,0.7796610169491526,0.8813559322033898,0.8135593220338984,0.7666666666666667,0.8112115505335845,0.03979550897404619,12
0.257786226272583,0.01535775774237372,0.013222789764404297,0.005544348533729503,0.1,3,300,0.1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 0.1}",0.8148148148148148,0.7719298245614035,0.8813559322033898,0.8070175438596491,0.7666666666666667,0.8083569564211848,0.04107886225697762,16
0.2604817390441895,0.007924844197307086,0.008781862258911134,0.00544656745695087,0.1,3,300,1.0,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 1.0}",0.8148148148148148,0.8070175438596491,0.8771929824561403,0.8275862068965517,0.7666666666666667,0.8186556429387645,0.03566349970221776,4
0.14851913452148438,0.016675734290600715,0.006042051315307617,0.0006102667205673057,0.1,5,100,0.1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 0.1}",0.8363636363636363,0.7586206896551724,0.8518518518518519,0.8421052631578947,0.78125,0.8140382882057111,0.037046521892154086,7
0.13311381340026857,0.004688673032997268,0.006155061721801758,0.00027201076949244035,0.1,5,100,1.0,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 1.0}",0.8301886792452831,0.7931034482758621,0.8679245283018868,0.8214285714285714,0.78125,0.8187790454503207,0.0303978412346517,3
0.2634900569915771,0.012229575103719852,0.006255388259887695,0.00033567158265355426,0.1,5,200,0.1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 0.1}",0.8301886792452831,0.8070175438596491,0.8076923076923077,0.8214285714285714,0.7936507936507936,0.811995579175321,0.012647532328537749,11
0.25813775062561034,0.012399661750388912,0.012110614776611328,0.00724195371572084,0.1,5,200,1.0,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__reg_lambda': 1.0}",0.8076923076923077,0.7931034482758621,0.8518518518518519,0.8214285714285714,0.7868852459016393,0.8121922850300465,0.023165793494044688,9
0.343072509765625,0.020684745744653593,0.006720066070556641,0.0008103137968649865,0.1,5,300,0.1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 0.1}",0.8076923076923077,0.8070175438596491,0.8076923076923077,0.8214285714285714,0.78125,0.8050161461345672,0.013057769184214365,20
0.3517038345336914,0.018782874089724743,0.010529088973999023,0.004968116668290189,0.1,5,300,1.0,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__reg_lambda': 1.0}",0.8076923076923077,0.7931034482758621,0.8518518518518519,0.8214285714285714,0.7868852459016393,0.8121922850300465,0.023165793494044688,9
0.18800606727600097,0.008027400920290285,0.009057378768920899,0.006003412663610069,0.1,7,100,0.1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 100, 'classifier__reg_lambda': 0.1}",0.8148148148148148,0.7457627118644068,0.8679245283018868,0.8363636363636363,0.7692307692307693,0.806819292115103,0.04429774169028455,18
